"","DROPDOWN KOTA/KAB ALAMAT KTP dan ASAL PENGCAB","","","DROPDOWN KELAHIRAN","","","No","Handball/Umum","Kelompok Status","Nama Profesi","Sumber","","","","","","","","","",""
"104","Kab. Garut","Jawa Barat","","Cilegon","Banten","","","","","","","","","","","","","","","",""
"105","Kab. Gayo Lues","Aceh","","Cimahi","Jawa Barat","","","","","","","","","","","","","","","",""
"106","Kab. Gianyar","Bali","","Cirebon","Jawa Barat","","","","","","","","","","","","","","","",""
"107","Kab. Gorontalo","Gorontalo","","Dairi","Sumatera Utara","","","","","","","","","","","","","","","",""
"108","Kab. Gorontalo Utara","Gorontalo","","Deiyai","Papua Tengah","","","","","","","","","","","","","","","",""
"109","Kab. Gowa","Sulawesi Selatan","","Deli Serdang","Sumatera Utara","","","","","","","","","","","","","","","",""
"110","Kab. Gresik","Jawa Timur","","Demak","Jawa Tengah","","","","","","","","","","","","","","","",""
"111","Kab. Grobogan","Jawa Tengah","","Denpasar","Bali","","","","","","","","","","","","","","","",""
"112","Kab. Gunung Mas","Kalimantan Tengah","","Depok","Jawa Barat","","","","","","","","","","","","","","","",""
"113","Kab. Gunungkidul","DI Yogyakarta","","Dharmasraya","Sumatera Barat","","","","","","","","","","","","","","","",""
"114","Kab. Halmahera Barat","Maluku Utara","","Dogiyai","Papua Tengah","","","","","","","","","","","","","","","",""
"115","Kab. Halmahera Selatan","Maluku Utara","","Dompu","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"116","Kab. Halmahera Tengah","Maluku Utara","","Donggala","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"117","Kab. Halmahera Timur","Maluku Utara","","Dumai","Riau","","","","","","","","","","","","","","","",""
"118","Kab. Halmahera Utara","Maluku Utara","","Empat Lawang","Sumatera Selatan","","","","","","","","","","","","","","","",""
"119","Kab. Hulu Sungai Selatan","Kalimantan Selatan","","Ende","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"120","Kab. Hulu Sungai Tengah","Kalimantan Selatan","","Enrekang","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"121","Kab. Hulu Sungai Utara","Kalimantan Selatan","","Fakfak","Papua Barat","","","","","","","","","","","","","","","",""
"122","Kab. Humbang Hasundutan","Sumatera Utara","","Flores Timur","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"123","Kab. Indragiri Hilir","Riau","","Garut","Jawa Barat","","","","","","","","","","","","","","","",""
"124","Kab. Indragiri Hulu","Riau","","Gayo Lues","Aceh","","","","","","","","","","","","","","","",""
"125","Kab. Indramayu","Jawa Barat","","Gianyar","Bali","","","","","","","","","","","","","","","",""
"126","Kab. Intan Jaya","Papua Tengah","","Gorontalo","Gorontalo","","","","","","","","","","","","","","","",""
"127","Kab. Jayapura","Papua","","Gorontalo Utara","Gorontalo","","","","","","","","","","","","","","","",""
"128","Kab. Jayawijaya","Papua Pegunungan","","Gowa","Sulawesi Selatan","","","","","","","","","","","","","","","",""
